"","GRAD_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","GRAD_RATE","DROP_RATE"
"1",2009,48072,1,28,21,8,0.75,0.285714285714286
"2",2010,48072,1,39,32,8,0.82051282051282,0.205128205128205
"3",2011,48072,1,40,33,6,0.825,0.15
"4",2012,48072,1,39,32,8,0.82051282051282,0.205128205128205
"5",2013,48072,1,53,48,5,0.905660377358491,0.0943396226415094
"6",2009,48101,1,343,299,22,0.871720116618076,0.0641399416909621
"7",2010,48101,1,371,329,23,0.886792452830189,0.0619946091644205
"8",2011,48101,1,364,319,39,0.876373626373626,0.107142857142857
"9",2012,48101,1,333,290,35,0.870870870870871,0.105105105105105
"10",2013,48101,1,365,324,37,0.887671232876712,0.101369863013699
"11",2014,48101,1,374,325,41,0.868983957219251,0.109625668449198
"12",2015,48101,3,957,850,82,0.888192267502612,0.0856844305120167
"13",2009,48111,1,520,460,57,0.884615384615385,0.109615384615385
"14",2010,48111,1,578,506,69,0.875432525951557,0.119377162629758
"15",2011,48111,1,524,460,57,0.877862595419847,0.108778625954198
"16",2012,48111,1,444,368,63,0.828828828828829,0.141891891891892
"17",2013,48111,1,504,412,60,0.817460317460317,0.119047619047619
"18",2014,48111,1,426,356,59,0.835680751173709,0.13849765258216
"19",2015,48111,3,1297,1110,142,0.855821125674634,0.109483423284503
"20",2009,48121,1,109,104,6,0.954128440366973,0.055045871559633
"21",2010,48121,1,116,112,5,0.96551724137931,0.0431034482758621
"22",2011,48121,1,106,99,6,0.933962264150943,0.0566037735849057
"23",2012,48121,1,118,105,13,0.889830508474576,0.110169491525424
"24",2013,48121,1,108,90,14,0.833333333333333,0.12962962962963
"25",2014,48121,1,106,98,4,0.924528301886792,0.0377358490566038
"26",2015,48121,3,334,316,10,0.946107784431138,0.029940119760479
"27",2009,48122,2,239,199,42,0.832635983263598,0.175732217573222
"28",2010,48122,2,275,228,48,0.829090909090909,0.174545454545455
"29",2011,48122,2,253,219,31,0.865612648221344,0.122529644268775
"30",2012,48122,2,268,232,32,0.865671641791045,0.119402985074627
"31",2013,48122,2,258,233,16,0.903100775193798,0.062015503875969
"32",2014,48122,2,276,254,20,0.920289855072464,0.072463768115942
"33",2015,48122,6,795,738,44,0.928301886792453,0.0553459119496855
"34",2009,48124,1,1456,1197,250,0.822115384615385,0.171703296703297
"35",2010,48124,1,1450,1239,196,0.85448275862069,0.135172413793103
"36",2011,48124,1,1475,1226,216,0.831186440677966,0.146440677966102
"37",2012,48124,1,1392,1163,200,0.835488505747126,0.14367816091954
"38",2013,48124,1,1369,1118,196,0.816654492330168,0.143170197224251
"39",2014,48124,1,1397,1210,148,0.866141732283465,0.105941302791696
"40",2015,48124,3,4305,3843,282,0.892682926829268,0.0655052264808362
"41",2009,48125,2,369,277,90,0.750677506775068,0.24390243902439
"42",2010,48125,2,359,263,90,0.732590529247911,0.250696378830084
"43",2011,48125,2,446,284,125,0.63677130044843,0.280269058295964
"44",2012,48125,2,547,307,203,0.561243144424132,0.371115173674589
"45",2013,48125,2,654,316,273,0.483180428134557,0.41743119266055
"46",2014,48125,2,672,371,251,0.552083333333333,0.373511904761905
"47",2015,48125,6,1828,1013,571,0.554157549234136,0.312363238512035
"48",2009,48126,1,65,49,17,0.753846153846154,0.261538461538462
"49",2010,48126,2,79,75,4,0.949367088607595,0.0506329113924051
"50",2011,48126,2,94,89,7,0.946808510638298,0.074468085106383
"51",2012,48126,2,108,99,11,0.916666666666667,0.101851851851852
"52",2013,48126,2,145,130,9,0.896551724137931,0.0620689655172414
"53",2014,48126,2,154,141,8,0.915584415584416,0.051948051948052
"54",2015,48126,6,500,459,25,0.918,0.05
"55",2009,48127,2,318,287,29,0.90251572327044,0.0911949685534591
"56",2010,48127,3,388,352,29,0.907216494845361,0.0747422680412371
"57",2011,48127,5,444,292,119,0.657657657657658,0.268018018018018
"58",2012,48127,3,406,361,39,0.889162561576355,0.0960591133004926
"59",2013,48127,3,388,337,37,0.868556701030928,0.095360824742268
"60",2014,48127,3,386,352,35,0.911917098445596,0.0906735751295337
"61",2015,48127,9,1277,1183,66,0.926389976507439,0.0516836335160532
"62",2009,48134,1,131,122,10,0.931297709923664,0.0763358778625954
"63",2010,48134,1,138,113,26,0.818840579710145,0.188405797101449
"64",2011,48134,1,139,108,24,0.776978417266187,0.172661870503597
"65",2012,48134,1,143,118,22,0.825174825174825,0.153846153846154
"66",2013,48134,1,137,119,10,0.868613138686131,0.072992700729927
"67",2014,48134,1,124,112,10,0.903225806451613,0.0806451612903226
"68",2015,48134,3,438,388,32,0.885844748858447,0.0730593607305936
"69",2009,48135,1,561,365,168,0.650623885918004,0.299465240641711
"70",2010,48135,1,571,390,149,0.683012259194396,0.260945709281961
"71",2011,48135,1,592,412,155,0.695945945945946,0.261824324324324
"72",2012,48135,1,608,398,161,0.654605263157895,0.264802631578947
"73",2013,48135,1,570,423,128,0.742105263157895,0.224561403508772
"74",2014,48135,1,608,468,117,0.769736842105263,0.192434210526316
"75",2015,48135,3,1652,1219,282,0.737893462469734,0.170702179176755
"76",2009,48138,1,196,193,3,0.98469387755102,0.0153061224489796
"77",2010,48138,1,183,179,5,0.978142076502732,0.0273224043715847
"78",2011,48138,1,162,151,10,0.932098765432099,0.0617283950617284
"79",2012,48138,1,142,138,3,0.971830985915493,0.0211267605633803
"80",2013,48138,1,179,174,5,0.972067039106145,0.0279329608938547
"81",2014,48138,1,167,164,2,0.982035928143713,0.0119760479041916
"82",2015,48138,3,459,444,11,0.967320261437909,0.0239651416122004
"83",2009,48141,3,329,213,109,0.64741641337386,0.331306990881459
"84",2010,48141,3,440,256,156,0.581818181818182,0.354545454545455
"85",2011,48141,4,522,313,189,0.599616858237548,0.362068965517241
"86",2012,48141,3,620,375,198,0.604838709677419,0.319354838709677
"87",2013,48141,2,466,293,146,0.628755364806867,0.313304721030043
"88",2014,48141,1,384,278,88,0.723958333333333,0.229166666666667
"89",2015,48141,3,345,214,109,0.620289855072464,0.315942028985507
"90",2009,48146,1,343,278,61,0.810495626822157,0.177842565597668
"91",2010,48146,1,327,255,59,0.779816513761468,0.180428134556575
"92",2011,48146,1,335,250,50,0.746268656716418,0.149253731343284
"93",2012,48146,1,271,224,31,0.826568265682657,0.114391143911439
"94",2013,48146,1,326,252,56,0.773006134969325,0.171779141104294
"95",2014,48146,1,320,263,38,0.821875,0.11875
"96",2015,48146,3,1018,814,114,0.799607072691552,0.111984282907662
"97",2009,48154,1,1558,1434,84,0.920410783055199,0.0539152759948652
"98",2010,48154,1,1540,1425,78,0.925324675324675,0.0506493506493507
"99",2011,48154,1,1540,1401,96,0.90974025974026,0.0623376623376623
"100",2012,48154,1,1589,1429,100,0.899307740717432,0.0629326620516048
"101",2013,48154,1,1512,1352,104,0.894179894179894,0.0687830687830688
"102",2014,48154,1,1440,1297,59,0.900694444444444,0.0409722222222222
"103",2015,48154,3,4135,3789,167,0.916324062877872,0.0403869407496977
"104",2009,48164,1,177,163,13,0.92090395480226,0.0734463276836158
"105",2010,48164,1,205,181,21,0.882926829268293,0.102439024390244
"106",2011,48164,1,225,201,13,0.893333333333333,0.0577777777777778
"107",2012,48164,1,188,161,15,0.856382978723404,0.0797872340425532
"108",2013,48164,1,206,179,18,0.868932038834951,0.087378640776699
"109",2014,48164,1,196,173,11,0.88265306122449,0.0561224489795918
"110",2015,48164,3,608,548,30,0.901315789473684,0.0493421052631579
"111",2009,48167,1,504,474,6,0.94047619047619,0.0119047619047619
"112",2010,48167,1,551,526,6,0.954627949183303,0.0108892921960073
"113",2011,48167,1,583,563,9,0.965694682675815,0.0154373927958834
"114",2012,48167,1,548,525,9,0.958029197080292,0.0164233576642336
"115",2013,48167,1,595,566,6,0.951260504201681,0.0100840336134454
"116",2014,48167,1,511,483,5,0.945205479452055,0.00978473581213307
"117",2015,48167,3,1716,1633,27,0.951631701631702,0.0157342657342657
"118",2009,48170,1,1441,1297,129,0.900069396252602,0.0895211658570437
"119",2010,48170,1,1532,1371,124,0.89490861618799,0.0809399477806789
"120",2011,48170,1,1516,1381,106,0.910949868073879,0.0699208443271768
"121",2012,48170,1,1511,1372,114,0.908007941760424,0.0754467240238253
"122",2013,48170,1,1609,1455,122,0.904288377874456,0.0758234928527035
"123",2014,48170,1,1572,1416,110,0.900763358778626,0.0699745547073791
"124",2015,48170,3,4728,4281,238,0.905456852791878,0.0503384094754653
"125",2009,48174,2,516,402,87,0.779069767441861,0.168604651162791
"126",2010,48174,2,570,435,108,0.763157894736842,0.189473684210526
"127",2011,48174,2,591,450,106,0.761421319796954,0.179357021996616
"128",2012,48174,2,502,395,84,0.786852589641434,0.167330677290837
"129",2013,48174,2,541,403,109,0.744916820702403,0.201478743068392
"130",2014,48174,2,480,395,65,0.822916666666667,0.135416666666667
"131",2015,48174,6,1248,1012,174,0.810897435897436,0.139423076923077
"132",2009,48180,1,802,645,152,0.804239401496259,0.189526184538653
"133",2010,48180,1,851,694,142,0.81551116333725,0.166862514688602
"134",2011,48180,2,846,639,166,0.75531914893617,0.196217494089835
"135",2012,48180,2,799,648,114,0.811013767209011,0.142678347934919
"136",2013,48180,2,729,557,120,0.764060356652949,0.164609053497942
"137",2014,48180,2,727,549,144,0.75515818431912,0.198074277854195
"138",2015,48180,6,2053,1599,260,0.778860204578665,0.126643935703848
"139",2009,48183,3,859,779,82,0.906868451688009,0.0954598370197905
"140",2010,48183,3,921,848,69,0.920738327904452,0.0749185667752443
"141",2011,48183,3,945,841,84,0.88994708994709,0.0888888888888889
"142",2012,48183,3,959,841,83,0.876955161626695,0.086548488008342
"143",2013,48183,3,898,784,67,0.873051224944321,0.0746102449888641
"144",2014,48183,3,921,816,69,0.885993485342019,0.0749185667752443
"145",2015,48183,9,2743,2421,188,0.882610280714546,0.0685380969741159
"146",2009,48185,1,1079,840,213,0.778498609823911,0.19740500463392
"147",2010,48185,1,1095,860,195,0.785388127853881,0.178082191780822
"148",2011,48185,1,1179,906,229,0.768447837150127,0.194232400339271
"149",2012,48185,1,1130,823,271,0.728318584070796,0.239823008849558
"150",2013,48185,1,1048,794,209,0.75763358778626,0.199427480916031
"151",2014,48185,1,1058,801,224,0.757088846880907,0.2117202268431
"152",2015,48185,3,3024,2319,518,0.766865079365079,0.171296296296296
"153",2009,48192,1,408,340,32,0.833333333333333,0.0784313725490196
"154",2010,48192,1,370,300,32,0.810810810810811,0.0864864864864865
"155",2011,48192,1,368,299,28,0.8125,0.0760869565217391
"156",2012,48192,1,370,282,33,0.762162162162162,0.0891891891891892
"157",2013,48192,1,353,271,17,0.767705382436261,0.0481586402266289
"158",2014,48192,1,307,255,20,0.830618892508143,0.0651465798045603
"159",2015,48192,3,1068,866,69,0.810861423220974,0.0646067415730337
"160",2009,48193,1,232,220,12,0.948275862068966,0.0517241379310345
"161",2010,48193,1,231,219,12,0.948051948051948,0.051948051948052
"162",2011,48193,1,227,209,11,0.920704845814978,0.0484581497797357
"163",2012,48193,1,233,209,13,0.896995708154506,0.055793991416309
"164",2013,48193,1,216,201,10,0.930555555555556,0.0462962962962963
"165",2014,48193,1,206,191,10,0.927184466019418,0.0485436893203883
"166",2015,48193,3,689,660,23,0.957910014513788,0.0333817126269956
"167",2009,48195,1,859,454,311,0.528521536670547,0.362048894062864
"168",2010,48195,1,955,486,332,0.508900523560209,0.347643979057592
"169",2011,48195,1,953,495,297,0.519412381951731,0.311647429171039
"170",2012,48195,1,941,461,361,0.48990435706695,0.383634431455898
"171",2013,48195,1,895,444,366,0.49608938547486,0.408938547486034
"172",2014,48195,1,869,416,379,0.478711162255466,0.436133486766398
"173",2015,48195,3,2032,1006,783,0.49507874015748,0.385334645669291
"174",2009,48202,4,9645,6343,3092,0.657646448937273,0.320580611715915
"175",2010,48202,3,9577,6301,2905,0.657930458389893,0.303330896940587
"176",2011,48202,3,8989,5843,2526,0.650016687061965,0.281010123484259
"177",2012,48202,5,8383,5379,2173,0.641655731838244,0.259215078134319
"178",2013,48202,2,7314,4755,1743,0.650123051681706,0.2383100902379
"179",2014,48202,2,6006,4136,1318,0.688644688644689,0.219447219447219
"180",2015,48202,11,11604,8757,2003,0.754653567735264,0.17261289210617
"181",2009,48203,1,739,266,459,0.359945872801083,0.621109607577808
"182",2010,48203,1,751,295,413,0.392809587217044,0.549933422103862
"183",2011,48203,1,584,216,262,0.36986301369863,0.448630136986301
"184",2012,48203,1,383,153,179,0.399477806788512,0.467362924281984
"185",2013,48203,1,305,113,165,0.370491803278689,0.540983606557377
"186",2014,48203,2,194,91,87,0.469072164948454,0.448453608247423
"187",2015,48203,4,259,172,80,0.664092664092664,0.308880308880309
"188",2009,48204,1,20,17,2,0.85,0.1
"189",2010,48204,1,32,2,30,0.0625,0.9375
"190",2011,48204,1,38,36,4,0.947368421052632,0.105263157894737
"191",2012,48204,1,64,56,9,0.875,0.140625
"192",2013,48204,1,51,44,8,0.862745098039216,0.156862745098039
"193",2014,48204,1,49,48,3,0.979591836734694,0.0612244897959184
"194",2015,48204,3,156,126,22,0.807692307692308,0.141025641025641
"195",2009,48207,2,394,188,196,0.477157360406091,0.49746192893401
"196",2010,48207,3,422,205,201,0.485781990521327,0.476303317535545
"197",2011,48207,3,455,197,222,0.432967032967033,0.487912087912088
"198",2012,48207,3,350,148,149,0.422857142857143,0.425714285714286
"199",2013,48207,3,241,139,93,0.576763485477178,0.385892116182573
"200",2014,48207,3,161,129,31,0.801242236024845,0.192546583850932
"201",2015,48207,6,485,430,48,0.88659793814433,0.0989690721649484
"202",2009,48208,1,83,15,59,0.180722891566265,0.710843373493976
"203",2010,48208,1,160,23,118,0.14375,0.7375
"204",2011,48208,2,234,48,162,0.205128205128205,0.692307692307692
"205",2012,48208,2,218,49,144,0.224770642201835,0.660550458715596
"206",2013,48208,1,210,54,135,0.257142857142857,0.642857142857143
"207",2014,48208,2,273,64,140,0.234432234432234,0.512820512820513
"208",2015,48208,3,962,156,589,0.162162162162162,0.612266112266112
"209",2009,48209,1,106,59,48,0.556603773584906,0.452830188679245
"210",2010,48209,1,115,81,35,0.704347826086957,0.304347826086957
"211",2011,48209,1,138,91,48,0.659420289855073,0.347826086956522
"212",2012,48209,1,121,93,28,0.768595041322314,0.231404958677686
"213",2013,48209,2,149,109,26,0.731543624161074,0.174496644295302
"214",2014,48209,2,174,127,33,0.729885057471264,0.189655172413793
"215",2015,48209,6,884,491,255,0.555429864253394,0.288461538461538
"216",2009,48210,4,216,150,67,0.694444444444444,0.310185185185185
"217",2010,48210,3,222,144,78,0.648648648648649,0.351351351351351
"218",2011,48210,4,179,122,58,0.681564245810056,0.324022346368715
"219",2012,48210,4,138,111,25,0.804347826086957,0.181159420289855
"220",2013,48210,2,133,125,9,0.93984962406015,0.0676691729323308
"221",2014,48210,3,151,128,24,0.847682119205298,0.158940397350993
"222",2015,48210,6,466,408,42,0.875536480686695,0.0901287553648069
"223",2009,48211,1,10,9,1,0.9,0.1
"224",2010,48211,1,16,12,3,0.75,0.1875
"225",2011,48211,1,20,19,1,0.95,0.05
"226",2012,48211,1,29,25,6,0.862068965517241,0.206896551724138
"227",2013,48211,1,25,20,5,0.8,0.2
"228",2014,48211,1,23,22,0,0.956521739130435,0
"229",2015,48211,3,140,121,14,0.864285714285714,0.1
"230",2009,48212,1,235,161,73,0.685106382978723,0.31063829787234
"231",2010,48212,2,266,174,86,0.654135338345865,0.323308270676692
"232",2011,48212,2,317,201,99,0.634069400630915,0.312302839116719
"233",2012,48212,2,347,236,99,0.680115273775216,0.285302593659942
"234",2013,48212,2,299,209,84,0.698996655518395,0.280936454849498
"235",2014,48212,2,275,192,80,0.698181818181818,0.290909090909091
"236",2015,48212,6,1183,870,260,0.73541842772612,0.21978021978022
"237",2009,48214,1,166,50,111,0.301204819277108,0.668674698795181
"238",2010,48214,1,201,42,147,0.208955223880597,0.73134328358209
"239",2011,48214,1,218,56,152,0.256880733944954,0.697247706422018
"240",2012,48214,1,156,37,102,0.237179487179487,0.653846153846154
"241",2013,48214,1,152,27,104,0.177631578947368,0.684210526315789
"242",2014,48214,1,135,26,66,0.192592592592593,0.488888888888889
"243",2015,48214,6,205,13,94,0.0634146341463415,0.458536585365854
"244",2009,48216,2,166,51,113,0.307228915662651,0.680722891566265
"245",2010,48216,2,228,48,174,0.210526315789474,0.763157894736842
"246",2011,48216,2,206,37,158,0.179611650485437,0.766990291262136
"247",2012,48216,2,210,50,139,0.238095238095238,0.661904761904762
"248",2013,48216,2,190,43,122,0.226315789473684,0.642105263157895
"249",2014,48216,2,188,37,102,0.196808510638298,0.542553191489362
"250",2015,48216,4,213,45,115,0.211267605633803,0.539906103286385
"251",2009,48218,1,136,108,27,0.794117647058823,0.198529411764706
"252",2010,48218,1,116,75,38,0.646551724137931,0.327586206896552
"253",2011,48218,1,124,86,34,0.693548387096774,0.274193548387097
"254",2012,48218,1,90,59,18,0.655555555555556,0.2
"255",2013,48218,1,98,51,34,0.520408163265306,0.346938775510204
"256",2014,48218,1,142,88,42,0.619718309859155,0.295774647887324
"257",2015,48218,3,450,346,77,0.768888888888889,0.171111111111111
"258",2009,48219,2,134,108,27,0.805970149253731,0.201492537313433
"259",2010,48219,2,160,127,35,0.79375,0.21875
"260",2011,48219,2,184,144,32,0.782608695652174,0.173913043478261
"261",2012,48219,2,193,163,26,0.844559585492228,0.134715025906736
"262",2013,48219,1,152,133,12,0.875,0.0789473684210526
"263",2014,48219,1,183,165,17,0.901639344262295,0.092896174863388
"264",2015,48219,3,541,452,59,0.835489833641405,0.1090573012939
"265",2009,48220,1,11,3,7,0.272727272727273,0.636363636363636
"266",2010,48220,1,28,6,14,0.214285714285714,0.5
"267",2011,48220,2,104,15,65,0.144230769230769,0.625
"268",2012,48220,1,60,11,41,0.183333333333333,0.683333333333333
"269",2009,48221,1,20,18,2,0.9,0.1
"270",2010,48221,1,31,21,9,0.67741935483871,0.290322580645161
"271",2011,48221,2,41,19,13,0.463414634146341,0.317073170731707
"272",2012,48221,1,18,13,5,0.722222222222222,0.277777777777778
"273",2013,48221,1,19,17,3,0.894736842105263,0.157894736842105
"274",2014,48221,1,24,17,8,0.708333333333333,0.333333333333333
"275",2015,48221,1,18,13,6,0.722222222222222,0.333333333333333
"276",2009,48223,1,102,89,12,0.872549019607843,0.117647058823529
"277",2010,48223,1,112,103,7,0.919642857142857,0.0625
"278",2011,48223,1,137,109,26,0.795620437956204,0.18978102189781
"279",2012,48223,1,117,95,18,0.811965811965812,0.153846153846154
"280",2013,48223,1,135,112,23,0.82962962962963,0.17037037037037
"281",2014,48223,1,135,112,19,0.82962962962963,0.140740740740741
"282",2015,48223,3,336,292,38,0.869047619047619,0.113095238095238
"283",2009,48225,2,134,123,13,0.917910447761194,0.0970149253731343
"284",2010,48225,2,118,106,14,0.898305084745763,0.11864406779661
"285",2011,48225,2,127,113,10,0.889763779527559,0.078740157480315
"286",2012,48225,2,131,114,15,0.870229007633588,0.114503816793893
"287",2013,48225,3,356,303,50,0.851123595505618,0.140449438202247
"288",2014,48225,3,391,318,62,0.813299232736573,0.158567774936061
"289",2015,48225,8,1403,892,354,0.635780470420527,0.25231646471846
"290",2015,48226,2,22,3,6,0.136363636363636,0.272727272727273
"291",2009,48229,1,143,83,59,0.58041958041958,0.412587412587413
"292",2010,48229,1,140,78,57,0.557142857142857,0.407142857142857
"293",2011,48229,1,126,77,47,0.611111111111111,0.373015873015873
"294",2012,48229,1,149,92,51,0.61744966442953,0.342281879194631
"295",2013,48229,1,138,87,52,0.630434782608696,0.376811594202899
"296",2014,48229,1,142,100,35,0.704225352112676,0.246478873239437
"297",2015,48229,3,362,229,97,0.632596685082873,0.267955801104972
"298",2009,48230,1,760,739,19,0.972368421052632,0.025
"299",2010,48230,1,844,813,19,0.963270142180095,0.0225118483412322
"300",2011,48230,1,792,763,17,0.963383838383838,0.0214646464646465
"301",2012,48230,1,771,737,24,0.955901426718547,0.0311284046692607
"302",2013,48230,1,749,715,24,0.954606141522029,0.0320427236315087
"303",2014,48230,1,739,703,16,0.95128552097429,0.0216508795669824
"304",2015,48230,3,2215,2106,46,0.95079006772009,0.0207674943566591
"305",2009,48234,1,74,61,13,0.824324324324324,0.175675675675676
"306",2010,48234,1,68,60,10,0.882352941176471,0.147058823529412
"307",2011,48234,1,88,75,13,0.852272727272727,0.147727272727273
"308",2012,48234,1,45,40,6,0.888888888888889,0.133333333333333
"309",2013,48234,1,45,44,2,0.977777777777778,0.0444444444444444
"310",2014,48234,1,40,36,4,0.9,0.1
"311",2015,48234,3,137,119,19,0.868613138686131,0.138686131386861
"312",2009,48235,1,32,18,14,0.5625,0.4375
"313",2010,48235,1,33,8,25,0.242424242424242,0.757575757575758
"314",2011,48235,1,82,59,19,0.719512195121951,0.231707317073171
"315",2012,48235,1,71,60,11,0.845070422535211,0.154929577464789
"316",2013,48235,1,72,57,14,0.791666666666667,0.194444444444444
"317",2014,48235,1,95,72,12,0.757894736842105,0.126315789473684
"318",2015,48235,1,94,89,3,0.946808510638298,0.0319148936170213
"319",2009,48239,2,293,239,55,0.815699658703072,0.187713310580205
"320",2010,48239,2,341,276,54,0.809384164222874,0.158357771260997
"321",2011,48239,2,344,287,42,0.834302325581395,0.122093023255814
"322",2012,48239,2,360,297,52,0.825,0.144444444444444
"323",2013,48239,1,251,219,27,0.872509960159363,0.107569721115538
"324",2014,48239,1,279,245,26,0.878136200716846,0.0931899641577061
"325",2015,48239,3,742,665,46,0.89622641509434,0.0619946091644205
"326",2009,48240,1,333,256,77,0.768768768768769,0.231231231231231
"327",2010,48240,1,342,254,81,0.742690058479532,0.236842105263158
"328",2011,48240,1,380,279,70,0.734210526315789,0.184210526315789
"329",2012,48240,1,337,269,61,0.798219584569733,0.181008902077151
"330",2013,48240,1,314,237,68,0.754777070063694,0.21656050955414
"331",2014,48240,1,342,226,83,0.660818713450292,0.242690058479532
"332",2015,48240,5,1055,633,243,0.6,0.230331753554502
