Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2010,"138,003","104,818","1,247","16,661","15,277",75.95%,11.07%
Statewide,5-Year,2009,"142,236","112,603","1,803","6,761","21,069",79.17%,14.81%
Statewide,6-Year,2008,"144,885","115,998","2,126","3,395","23,366",80.06%,16.13%
Allen Park Public Schools (82020),4-Year,2010,333,278,<10,24,29,83.48%,8.71%
Allen Park Public Schools (82020),5-Year,2009,364,318,<10,<10,37,87.36%,10.16%
Allen Park Public Schools (82020),6-Year,2008,366,328,18,<10,20,89.62%,5.46%
Crestwood School District (82230),4-Year,2010,323,295,<10,10,18,91.33%,5.57%
Crestwood School District (82230),5-Year,2009,256,232,<10,<10,24,90.63%,9.38%
Crestwood School District (82230),6-Year,2008,289,275,<10,<10,11,95.16%,3.81%
Dearborn City School District (82030),4-Year,2010,"1,392","1,107",<10,132,149,79.53%,10.70%
Dearborn City School District (82030),5-Year,2009,"1,460","1,222",<10,19,211,83.70%,14.45%
Dearborn City School District (82030),6-Year,2008,"1,446","1,236",<10,<10,195,85.48%,13.49%
Dearborn Heights School District #7 (82040),4-Year,2010,171,139,<10,15,17,81.29%,9.94%
Dearborn Heights School District #7 (82040),5-Year,2009,154,135,<10,<10,18,87.66%,11.69%
Dearborn Heights School District #7 (82040),6-Year,2008,151,121,<10,<10,28,80.13%,18.54%
Detroit City School District (82010),4-Year,2010,"7,895","4,916",<10,"1,472","1,507",62.27%,19.09%
Detroit City School District (82010),5-Year,2009,"8,463","5,680",<10,556,"2,225",67.12%,26.29%
Detroit City School District (82010),6-Year,2008,"9,168","6,178",<10,302,"2,687",67.39%,29.31%
Ecorse Public Schools (82250),4-Year,2010,138,79,<10,21,32,57.25%,23.19%
Ecorse Public Schools (82250),5-Year,2009,121,74,<10,10,35,61.16%,28.93%
Ecorse Public Schools (82250),6-Year,2008,138,77,<10,<10,56,55.80%,40.58%
Flat Rock Community Schools (82180),4-Year,2010,143,109,<10,17,17,76.22%,11.89%
Flat Rock Community Schools (82180),5-Year,2009,130,107,<10,<10,22,82.31%,16.92%
Flat Rock Community Schools (82180),6-Year,2008,135,112,<10,<10,21,82.96%,15.56%
Garden City Public Schools (82050),4-Year,2010,570,344,<10,137,89,60.35%,15.61%
Garden City Public Schools (82050),5-Year,2009,589,391,<10,72,123,66.38%,20.88%
Garden City Public Schools (82050),6-Year,2008,571,390,<10,30,149,68.30%,26.09%
Gibraltar School District (82290),4-Year,2010,277,235,<10,30,12,84.84%,4.33%
Gibraltar School District (82290),5-Year,2009,294,269,<10,<10,22,91.50%,7.48%
Gibraltar School District (82290),6-Year,2008,266,247,<10,<10,18,92.86%,6.77%
Grosse Ile Township Schools (82300),4-Year,2010,142,137,<10,<10,<10,96.48%,1.41%
Grosse Ile Township Schools (82300),5-Year,2009,160,150,<10,<10,<10,93.75%,5.63%
Grosse Ile Township Schools (82300),6-Year,2008,182,178,<10,<10,<10,97.80%,2.20%
Grosse Pointe Public Schools (82055),4-Year,2010,771,737,<10,10,24,95.59%,3.11%
Grosse Pointe Public Schools (82055),5-Year,2009,790,762,<10,<10,17,96.46%,2.15%
Grosse Pointe Public Schools (82055),6-Year,2008,839,812,<10,<10,17,96.78%,2.03%
"Hamtramck, School District of the City of (82060)",4-Year,2010,305,161,<10,67,77,52.79%,25.25%
"Hamtramck, School District of the City of (82060)",5-Year,2009,277,160,<10,29,88,57.76%,31.77%
"Hamtramck, School District of the City of (82060)",6-Year,2008,241,156,<10,<10,80,64.73%,33.20%
"Harper Woods, The School District of the City of (82320)",4-Year,2010,98,83,<10,<10,11,84.69%,11.22%
"Harper Woods, The School District of the City of (82320)",5-Year,2009,91,85,<10,<10,<10,93.41%,5.49%
"Harper Woods, The School District of the City of (82320)",6-Year,2008,91,80,<10,<10,11,87.91%,12.09%
Highland Park City Schools (82070),4-Year,2010,383,145,<10,68,170,37.86%,44.39%
Highland Park City Schools (82070),5-Year,2009,510,211,<10,38,261,41.37%,51.18%
Highland Park City Schools (82070),6-Year,2008,712,291,<10,28,393,40.87%,55.20%
Huron School District (82340),4-Year,2010,188,156,<10,21,10,82.98%,5.32%
Huron School District (82340),5-Year,2009,217,200,<10,<10,12,92.17%,5.53%
Huron School District (82340),6-Year,2008,199,180,<10,<10,19,90.45%,9.55%
"Lincoln Park, School District of the City of (82090)",4-Year,2010,271,203,<10,46,22,74.91%,8.12%
"Lincoln Park, School District of the City of (82090)",5-Year,2009,301,248,<10,<10,46,82.39%,15.28%
"Lincoln Park, School District of the City of (82090)",6-Year,2008,312,253,<10,<10,53,81.09%,16.99%
Livonia Public Schools School District (82095),4-Year,2010,"1,589","1,408",<10,125,51,88.61%,3.21%
Livonia Public Schools School District (82095),5-Year,2009,"1,540","1,400",<10,48,87,90.91%,5.65%
Livonia Public Schools School District (82095),6-Year,2008,"1,540","1,425",<10,33,78,92.53%,5.06%
Melvindale-North Allen Park Schools (82045),4-Year,2010,198,162,<10,19,17,81.82%,8.59%
Melvindale-North Allen Park Schools (82045),5-Year,2009,186,164,<10,<10,22,88.17%,11.83%
Melvindale-North Allen Park Schools (82045),6-Year,2008,194,166,<10,<10,28,85.57%,14.43%
Northville Public Schools (82390),4-Year,2010,548,524,<10,16,<10,95.62%,1.46%
Northville Public Schools (82390),5-Year,2009,580,561,<10,10,<10,96.72%,1.38%
Northville Public Schools (82390),6-Year,2008,551,526,<10,18,<10,95.46%,0.91%
Plymouth-Canton Community Schools (82100),4-Year,2010,"1,509","1,303",<10,142,58,86.35%,3.84%
Plymouth-Canton Community Schools (82100),5-Year,2009,"1,509","1,370",19,26,94,90.79%,6.23%
Plymouth-Canton Community Schools (82100),6-Year,2008,"1,525","1,371",19,12,123,89.90%,8.07%
"Redford Union Schools, District No. 1 (82110)",4-Year,2010,337,258,<10,31,47,76.56%,13.95%
"Redford Union Schools, District No. 1 (82110)",5-Year,2009,353,278,<10,<10,70,78.75%,19.83%
"Redford Union Schools, District No. 1 (82110)",6-Year,2008,336,253,<10,<10,80,75.30%,23.81%
"River Rouge, School District of the City of (82120)",4-Year,2010,90,55,<10,27,<10,61.11%,8.89%
"River Rouge, School District of the City of (82120)",5-Year,2009,124,85,<10,<10,30,68.55%,24.19%
"River Rouge, School District of the City of (82120)",6-Year,2008,112,75,<10,<10,37,66.96%,33.04%
Riverview Community School District (82400),4-Year,2010,233,203,<10,18,12,87.12%,5.15%
Riverview Community School District (82400),5-Year,2009,222,209,<10,<10,11,94.14%,4.95%
Riverview Community School District (82400),6-Year,2008,229,218,<10,<10,11,95.20%,4.80%
Romulus Community Schools (82130),4-Year,2010,383,247,12,78,46,64.49%,12.01%
Romulus Community Schools (82130),5-Year,2009,471,359,12,24,76,76.22%,16.14%
Romulus Community Schools (82130),6-Year,2008,471,346,17,11,97,73.46%,20.59%
School District of the City of Inkster (82080),4-Year,2010,427,218,<10,119,89,51.05%,20.84%
School District of the City of Inkster (82080),5-Year,2009,362,200,<10,47,113,55.25%,31.22%
School District of the City of Inkster (82080),6-Year,2008,304,148,<10,20,129,48.68%,42.43%
South Redford School District (82140),4-Year,2010,268,219,<10,18,27,81.72%,10.07%
South Redford School District (82140),5-Year,2009,264,233,<10,<10,27,88.26%,10.23%
South Redford School District (82140),6-Year,2008,260,222,12,<10,25,85.38%,9.62%
Southgate Community School District (82405),4-Year,2010,799,401,<10,279,117,50.19%,14.64%
Southgate Community School District (82405),5-Year,2009,917,488,18,207,204,53.22%,22.25%
Southgate Community School District (82405),6-Year,2008,955,485,<10,131,331,50.79%,34.66%
Taylor School District (82150),4-Year,2010,764,594,<10,71,97,77.75%,12.70%
Taylor School District (82150),5-Year,2009,781,608,<10,16,157,77.85%,20.10%
Taylor School District (82150),6-Year,2008,824,694,<10,<10,125,84.22%,15.17%
Trenton Public Schools (82155),4-Year,2010,260,233,<10,19,<10,89.62%,3.08%
Trenton Public Schools (82155),5-Year,2009,216,202,<10,<10,13,93.52%,6.02%
Trenton Public Schools (82155),6-Year,2008,232,221,<10,<10,10,95.26%,4.31%
Van Buren Public Schools (82430),4-Year,2010,444,365,<10,39,39,82.21%,8.78%
Van Buren Public Schools (82430),5-Year,2009,521,455,<10,<10,57,87.33%,10.94%
Van Buren Public Schools (82430),6-Year,2008,571,500,<10,<10,69,87.57%,12.08%
Wayne-Westland Community School District (82160),4-Year,2010,"1,105",769,<10,150,185,69.59%,16.74%
Wayne-Westland Community School District (82160),5-Year,2009,"1,166",891,<10,70,197,76.42%,16.90%
Wayne-Westland Community School District (82160),6-Year,2008,"1,095",859,18,24,194,78.45%,17.72%
Westwood Community School District (82240),4-Year,2010,366,132,<10,180,54,36.07%,14.75%
Westwood Community School District (82240),5-Year,2009,285,147,<10,67,71,51.58%,24.91%
Westwood Community School District (82240),6-Year,2008,199,140,<10,<10,57,70.35%,28.64%
Woodhaven-Brownstown School District (82365),4-Year,2010,422,337,<10,54,31,79.86%,7.35%
Woodhaven-Brownstown School District (82365),5-Year,2009,417,365,<10,<10,48,87.53%,11.51%
Woodhaven-Brownstown School District (82365),6-Year,2008,416,376,<10,<10,38,90.38%,9.13%
"Wyandotte, School District of the City of (82170)",4-Year,2010,370,275,<10,72,23,74.32%,6.22%
"Wyandotte, School District of the City of (82170)",5-Year,2009,368,299,<10,44,25,81.25%,6.79%
"Wyandotte, School District of the City of (82170)",6-Year,2008,370,300,<10,41,29,81.08%,7.84%
Academy for Business and Technology (82921),4-Year,2010,70,56,<10,<10,10,80.00%,14.29%
Academy for Business and Technology (82921),5-Year,2009,63,54,<10,<10,<10,85.71%,11.11%
Academy for Business and Technology (82921),6-Year,2008,80,61,<10,<10,19,76.25%,23.75%
Academy of Inkster (82961),4-Year,2010,53,36,<10,<10,12,67.92%,22.64%
Academy of Inkster (82961),5-Year,2009,54,50,<10,<10,<10,92.59%,7.41%
Academy of Inkster (82961),6-Year,2008,56,49,<10,<10,<10,87.50%,12.50%
ACE Academy (SDA) (82998),4-Year,2010,60,<10,<10,18,34,13.33%,56.67%
ACE Academy (SDA) (82998),5-Year,2009,57,<10,<10,10,41,8.77%,71.93%
ACE Academy (SDA) (82998),6-Year,2008,27,<10,<10,<10,14,18.52%,51.85%
Advanced Technology Academy (63914),4-Year,2010,70,63,<10,<10,<10,90.00%,7.14%
Advanced Technology Academy (63914),5-Year,2009,70,66,<10,<10,<10,94.29%,5.71%
Advanced Technology Academy (63914),6-Year,2008,62,58,<10,<10,<10,93.55%,6.45%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2010,18,13,<10,<10,<10,72.22%,22.22%
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2009,27,19,<10,<10,<10,70.37%,29.63%
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2008,30,21,<10,<10,<10,70.00%,30.00%
Allen Academy (82955),4-Year,2010,63,55,<10,<10,<10,87.30%,12.70%
Allen Academy (82955),5-Year,2009,38,34,<10,<10,<10,89.47%,7.89%
Allen Academy (82955),6-Year,2008,32,<10,<10,<10,30,6.25%,93.75%
Blanche Kelso Bruce Academy (82971),4-Year,2010,134,<10,<10,74,57,2.24%,42.54%
Blanche Kelso Bruce Academy (82971),5-Year,2009,129,<10,<10,18,108,2.33%,83.72%
Blanche Kelso Bruce Academy (82971),6-Year,2008,103,<10,<10,<10,100,0.00%,97.09%
Casa Richard Academy (82902),4-Year,2010,59,31,<10,11,17,52.54%,28.81%
Casa Richard Academy (82902),5-Year,2009,36,16,<10,<10,17,44.44%,47.22%
Casa Richard Academy (82902),6-Year,2008,36,13,<10,<10,23,36.11%,63.89%
Cesar Chavez Academy (82918),4-Year,2010,114,88,<10,<10,21,77.19%,18.42%
Cesar Chavez Academy (82918),5-Year,2009,136,90,<10,<10,46,66.18%,33.82%
Cesar Chavez Academy (82918),6-Year,2008,112,80,<10,<10,31,71.43%,27.68%
Charlotte Forten Academy (82936),4-Year,2010,21,<10,<10,<10,17,4.76%,80.95%
Charlotte Forten Academy (82936),5-Year,2009,51,17,<10,<10,34,33.33%,66.67%
Charlotte Forten Academy (82936),6-Year,2008,105,38,<10,<10,67,36.19%,63.81%
Cherry Hill School of Performing Arts (82960),4-Year,2010,140,92,<10,<10,39,65.71%,27.86%
Cherry Hill School of Performing Arts (82960),5-Year,2009,86,59,<10,<10,26,68.60%,30.23%
Cherry Hill School of Performing Arts (82960),6-Year,2008,75,57,<10,<10,18,76.00%,24.00%
Clara B. Ford Academy (SDA) (82996),4-Year,2010,41,<10,<10,14,27,0.00%,65.85%
Clara B. Ford Academy (SDA) (82996),5-Year,2009,33,<10,<10,<10,25,18.18%,75.76%
Clara B. Ford Academy (SDA) (82996),6-Year,2008,20,<10,<10,<10,13,25.00%,65.00%
Covenant House Academy Detroit (82991),4-Year,2010,170,10,<10,59,101,5.88%,59.41%
Covenant House Academy Detroit (82991),5-Year,2009,206,25,<10,35,145,12.14%,70.39%
Covenant House Academy Detroit (82991),6-Year,2008,147,22,<10,16,109,14.97%,74.15%
Covenant House Academy East (82990),4-Year,2010,125,14,<10,50,61,11.20%,48.80%
Covenant House Academy East (82990),5-Year,2009,211,48,<10,38,125,22.75%,59.24%
Covenant House Academy East (82990),6-Year,2008,198,42,<10,<10,147,21.21%,74.24%
Covenant House Academy Southwest (82989),4-Year,2010,151,<10,<10,45,101,3.31%,66.89%
Covenant House Academy Southwest (82989),5-Year,2009,165,15,<10,21,129,9.09%,78.18%
Covenant House Academy Southwest (82989),6-Year,2008,188,34,<10,13,139,18.09%,73.94%
Detroit Academy of Arts and Sciences (82929),4-Year,2010,153,112,<10,<10,36,73.20%,23.53%
Detroit Academy of Arts and Sciences (82929),5-Year,2009,181,142,<10,<10,38,78.45%,20.99%
Detroit Academy of Arts and Sciences (82929),6-Year,2008,173,150,<10,<10,22,86.71%,12.72%
Detroit Community Schools (82925),4-Year,2010,117,92,<10,17,<10,78.63%,6.84%
Detroit Community Schools (82925),5-Year,2009,135,108,<10,<10,21,80.00%,15.56%
Detroit Community Schools (82925),6-Year,2008,111,103,<10,<10,<10,92.79%,5.41%
Detroit Midtown Academy (82964),4-Year,2010,71,53,<10,10,<10,74.65%,11.27%
Detroit Midtown Academy (82964),5-Year,2009,79,59,<10,<10,18,74.68%,22.78%
Detroit Midtown Academy (82964),6-Year,2008,32,<10,<10,<10,24,21.88%,75.00%
Frontier International Academy (82987),4-Year,2010,42,38,<10,<10,<10,90.48%,0.00%
Frontier International Academy (82987),5-Year,2009,35,29,<10,<10,<10,82.86%,17.14%
Frontier International Academy (82987),6-Year,2008,21,18,<10,<10,<10,85.71%,9.52%
George Crockett Academy (82937),4-Year,2010,10,10,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),5-Year,2009,10,10,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),6-Year,2008,<10,<10,<10,<10,<10,100.00%,0.00%
HEART Academy (82927),4-Year,2010,33,29,<10,<10,<10,87.88%,9.09%
HEART Academy (82927),5-Year,2009,30,26,<10,<10,<10,86.67%,13.33%
HEART Academy (82927),6-Year,2008,26,25,<10,<10,<10,96.15%,3.85%
Henry Ford Academy (82926),4-Year,2010,118,98,<10,<10,11,83.05%,9.32%
Henry Ford Academy (82926),5-Year,2009,104,99,<10,<10,<10,95.19%,4.81%
Henry Ford Academy (82926),6-Year,2008,114,111,<10,<10,<10,97.37%,2.63%
Hope of Detroit Academy (82957),4-Year,2010,11,<10,<10,<10,<10,81.82%,9.09%
Hope of Detroit Academy (82957),5-Year,2009,16,12,<10,<10,<10,75.00%,25.00%
Hope of Detroit Academy (82957),6-Year,2008,<10,<10,<10,<10,<10,83.33%,16.67%
Life Skills Center of Metropolitan Detroit (82978),4-Year,2010,173,11,<10,52,110,6.36%,63.58%
Life Skills Center of Metropolitan Detroit (82978),5-Year,2009,239,38,<10,27,174,15.90%,72.80%
Life Skills Center of Metropolitan Detroit (82978),6-Year,2008,213,38,<10,12,163,17.84%,76.53%
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2010,44,38,<10,<10,<10,86.36%,9.09%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2009,87,74,<10,<10,13,85.06%,14.94%
Marvin L. Winans Academy of Performing Arts (82924),6-Year,2008,67,59,<10,<10,<10,88.06%,11.94%
McGivney Academy (SDA) (82721),4-Year,2010,<10,<10,<10,<10,<10,0.00%,60.00%
Michigan Health Academy (82917),4-Year,2010,39,31,<10,<10,<10,79.49%,10.26%
Michigan Health Academy (82917),5-Year,2009,38,32,<10,<10,<10,84.21%,13.16%
Michigan Health Academy (82917),6-Year,2008,39,31,<10,<10,<10,79.49%,20.51%
Michigan Technical Academy (82907),4-Year,2010,92,68,<10,<10,23,73.91%,25.00%
Michigan Technical Academy (82907),5-Year,2009,66,52,<10,<10,13,78.79%,19.70%
Michigan Technical Academy (82907),6-Year,2008,76,54,<10,<10,20,71.05%,26.32%
Oakland International Academy (63912),4-Year,2010,27,21,<10,<10,<10,77.78%,18.52%
Oakland International Academy (63912),5-Year,2009,20,19,<10,<10,<10,95.00%,5.00%
Oakland International Academy (63912),6-Year,2008,16,12,<10,<10,<10,75.00%,18.75%
Old Redford Academy (82956),4-Year,2010,135,114,<10,10,11,84.44%,8.15%
Old Redford Academy (82956),5-Year,2009,110,94,<10,<10,16,85.45%,14.55%
Old Redford Academy (82956),6-Year,2008,97,82,<10,<10,15,84.54%,15.46%
Riverside Academy (82975),4-Year,2010,38,31,<10,<10,<10,81.58%,7.89%
Riverside Academy (82975),5-Year,2009,23,21,<10,<10,<10,91.30%,8.70%
Riverside Academy (82975),6-Year,2008,12,12,<10,<10,<10,100.00%,0.00%
Ross-Hill Academy (82948),4-Year,2010,24,18,<10,<10,<10,75.00%,8.33%
Ross-Hill Academy (82948),5-Year,2009,22,14,<10,<10,<10,63.64%,31.82%
Ross-Hill Academy (82948),6-Year,2008,18,14,<10,<10,<10,77.78%,16.67%
Star International Academy (82941),4-Year,2010,64,49,<10,<10,15,76.56%,23.44%
Star International Academy (82941),5-Year,2009,50,48,<10,<10,<10,96.00%,4.00%
Star International Academy (82941),6-Year,2008,75,70,<10,<10,<10,93.33%,5.33%
Summit Academy North (82938),4-Year,2010,109,101,<10,<10,<10,92.66%,7.34%
Summit Academy North (82938),5-Year,2009,102,84,<10,<10,17,82.35%,16.67%
Summit Academy North (82938),6-Year,2008,98,88,<10,<10,10,89.80%,10.20%
Trillium Academy (82973),4-Year,2010,35,28,<10,<10,<10,80.00%,5.71%
Trillium Academy (82973),5-Year,2009,23,20,<10,<10,<10,86.96%,13.04%
Trillium Academy (82973),6-Year,2008,<10,<10,<10,<10,<10,50.00%,50.00%
Universal Academy (82950),4-Year,2010,25,22,<10,<10,<10,88.00%,8.00%
Universal Academy (82950),5-Year,2009,31,28,<10,<10,<10,90.32%,9.68%
Universal Academy (82950),6-Year,2008,25,21,<10,<10,<10,84.00%,16.00%
University Preparatory Academy (82965),6-Year,2008,122,122,<10,<10,<10,100.00%,0.00%
University Preparatory Academy (PSAD) (82702),4-Year,2010,120,113,<10,<10,<10,94.17%,2.50%
University Preparatory Academy (PSAD) (82702),5-Year,2009,128,124,<10,<10,<10,96.88%,3.13%
Vista Meadows Academy (82716),4-Year,2010,19,<10,<10,<10,<10,31.58%,15.79%
Vista Meadows Academy (82716),5-Year,2009,<10,<10,<10,<10,<10,12.50%,75.00%
Vista Meadows Academy (82716),6-Year,2008,<10,<10,<10,<10,<10,100.00%,0.00%
Voyageur Academy (82940),4-Year,2010,81,74,<10,<10,<10,91.36%,4.94%
Voyageur Academy (82940),5-Year,2009,75,63,<10,<10,12,84.00%,16.00%
Voyageur Academy (82940),6-Year,2008,89,84,<10,<10,<10,94.38%,5.62%
Weston Preparatory Academy (82943),4-Year,2010,58,46,<10,<10,11,79.31%,18.97%
Weston Preparatory Academy (82943),5-Year,2009,53,45,<10,<10,<10,84.91%,15.09%
Weston Preparatory Academy (82943),6-Year,2008,61,42,<10,<10,18,68.85%,29.51%
Wayne RESA - District created from ISD (82000),4-Year,2010,16,<10,<10,<10,12,N/A,75.00%
Wayne RESA - District created from ISD (82000),6-Year,2008,<10,<10,<10,<10,<10,N/A,100.00%
Some percentages may not add to 100% due to rounding.,,,,,,,,,
